epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.63173,2.0072,5.02966,1.31607,0,0,0,0,1.81615,4.58816,1.20694,5.56e-05,5.56e-05,5.56e-05
2,12.6299,1.81664,4.64957,1.18565,0,0,0,0,1.79706,4.49679,1.1472,0.000114448,0.000114448,0.000114448
3,18.5716,1.80038,4.04129,1.14768,0.05673,0.13338,0.06401,0.02633,1.59165,4.34659,1.08578,0.000170874,0.000170874,0.000170874
4,24.382,2.00003,3.47491,1.14004,0.0481,0.26992,0.11956,0.07124,1.59458,4.16849,1.09145,0.000224879,0.000224879,0.000224879
5,30.0779,1.86009,2.95429,1.1078,0.03855,0.4789,0.22614,0.1207,1.62573,3.77486,1.08335,0.000276461,0.000276461,0.000276461
6,35.877,1.77665,2.75184,1.08711,0.03091,0.60466,0.25081,0.13371,1.54663,3.42019,1.08215,0.000325621,0.000325621,0.000325621
7,41.6629,1.6566,2.51827,1.08242,0.29718,0.4197,0.27527,0.14554,1.53291,3.13311,1.08405,0.00037236,0.00037236,0.00037236
8,47.3526,1.73079,2.41557,1.08152,0.6752,0.10572,0.29047,0.16195,1.5671,2.74718,1.10209,0.000416676,0.000416676,0.000416676
9,52.8536,1.65616,2.30549,1.07055,0.70027,0.17649,0.32602,0.18245,1.53719,2.51464,1.12327,0.000458571,0.000458571,0.000458571
10,58.538,1.65643,2.35565,1.10104,0.63471,0.27658,0.37674,0.20829,1.52444,2.26918,1.10169,0.000456921,0.000456921,0.000456921
11,64.052,1.65454,2.28787,1.0853,0.62915,0.26083,0.37598,0.21539,1.52659,2.18678,1.09402,0.000445912,0.000445912,0.000445912
12,69.6379,1.6365,2.18902,1.10612,0.57894,0.39179,0.42113,0.24777,1.51297,2.07155,1.07376,0.000434903,0.000434903,0.000434903
13,74.9595,1.48317,2.07717,1.0457,0.66476,0.41899,0.4319,0.24216,1.47973,1.95337,1.08588,0.000423894,0.000423894,0.000423894
14,80.4143,1.50418,1.98592,1.04033,0.70169,0.44813,0.49001,0.28803,1.49317,1.97492,1.07243,0.000412886,0.000412886,0.000412886
15,85.9106,1.54501,1.97039,1.06547,0.70075,0.4783,0.5312,0.30854,1.44716,1.86844,1.07126,0.000401877,0.000401877,0.000401877
16,91.4649,1.45038,2.30817,1.03696,0.63061,0.53409,0.54456,0.30432,1.48785,1.7726,1.07281,0.000390868,0.000390868,0.000390868
17,96.8433,1.43684,1.8009,1.02981,0.64424,0.48124,0.51531,0.29906,1.45414,1.67744,1.07284,0.000379859,0.000379859,0.000379859
18,102.206,1.47977,1.78595,1.04068,0.59464,0.51078,0.53177,0.32159,1.45009,1.66194,1.07281,0.00036885,0.00036885,0.00036885
19,107.636,1.47568,1.82284,1.02683,0.56551,0.52121,0.52515,0.32018,1.45301,1.65573,1.06553,0.000357842,0.000357842,0.000357842
20,113.043,1.47426,1.80976,1.04538,0.68987,0.56704,0.57587,0.34676,1.39053,1.56443,1.06003,0.000346833,0.000346833,0.000346833
21,118.475,1.54077,1.73789,1.03387,0.71436,0.52808,0.5876,0.35012,1.41333,1.38108,1.07517,0.000335824,0.000335824,0.000335824
22,123.993,1.27156,2.49518,0.93249,0.61619,0.56023,0.56032,0.33722,1.42104,1.37654,1.06899,0.000324815,0.000324815,0.000324815
23,129.455,1.46716,1.65609,1.05241,0.64664,0.57391,0.57889,0.34864,1.42559,1.37803,1.06437,0.000313806,0.000313806,0.000313806
24,134.836,1.41517,1.61293,1.00677,0.66188,0.55554,0.58909,0.34729,1.37661,1.34282,1.06282,0.000302798,0.000302798,0.000302798
25,140.181,1.44883,1.56861,1.04219,0.70202,0.52671,0.60379,0.36227,1.38768,1.30224,1.07301,0.000291789,0.000291789,0.000291789
26,145.62,1.40986,1.50472,1.01126,0.7641,0.51097,0.61936,0.37069,1.396,1.28434,1.05703,0.00028078,0.00028078,0.00028078
27,151.076,1.40088,1.56211,1.04009,0.69457,0.52046,0.60602,0.37189,1.41031,1.34866,1.05992,0.000269771,0.000269771,0.000269771
28,156.587,1.37595,1.54304,1.06793,0.76588,0.52113,0.61521,0.37682,1.4311,1.29753,1.06888,0.000258762,0.000258762,0.000258762
29,162.048,1.39129,1.45383,1.00766,0.74533,0.58953,0.63631,0.37946,1.4368,1.29385,1.06913,0.000247754,0.000247754,0.000247754
30,167.574,1.37896,1.43781,0.9964,0.67722,0.61832,0.64041,0.39187,1.3967,1.22961,1.06338,0.000236745,0.000236745,0.000236745
31,173.182,1.33158,1.40664,1.00735,0.71951,0.5923,0.64877,0.39814,1.35755,1.2344,1.05118,0.000225736,0.000225736,0.000225736
32,178.601,1.35386,1.4291,1.02682,0.72647,0.59939,0.63613,0.38627,1.3909,1.2811,1.05372,0.000214727,0.000214727,0.000214727
33,183.972,1.45101,1.56421,1.07353,0.70794,0.58856,0.63513,0.37569,1.45116,1.32895,1.07282,0.000203718,0.000203718,0.000203718
34,189.578,1.34386,1.57343,1.02825,0.79921,0.52642,0.63657,0.38675,1.40857,1.25664,1.06996,0.00019271,0.00019271,0.00019271
35,194.977,1.37704,1.36267,0.99335,0.54622,0.62859,0.62925,0.37434,1.40294,1.21823,1.0684,0.000181701,0.000181701,0.000181701
36,200.315,1.20168,2.04352,0.89289,0.55959,0.62223,0.62898,0.37873,1.39413,1.19189,1.06122,0.000170692,0.000170692,0.000170692
37,205.781,1.30675,1.40093,0.98384,0.58068,0.61612,0.6368,0.38094,1.38627,1.19116,1.05516,0.000159683,0.000159683,0.000159683
38,211.239,1.32436,1.4798,1.0268,0.60243,0.61821,0.63606,0.3864,1.37073,1.19087,1.05366,0.000148674,0.000148674,0.000148674
39,216.92,1.30657,1.40624,0.98183,0.60298,0.60779,0.63329,0.39248,1.35282,1.1574,1.05134,0.000137666,0.000137666,0.000137666
40,222.392,1.32719,1.34244,0.9989,0.69592,0.62821,0.65523,0.39299,1.37173,1.14281,1.05555,0.000126657,0.000126657,0.000126657
41,252.192,1.25324,1.29506,0.98976,0.59007,0.62679,0.65399,0.39234,1.3697,1.14095,1.05716,0.000115648,0.000115648,0.000115648
42,257.663,1.19419,1.34512,1.02114,0.67898,0.55568,0.64606,0.39193,1.37077,1.2151,1.0535,0.000104639,0.000104639,0.000104639
43,263.174,1.18264,1.26361,1.00898,0.69094,0.55752,0.64174,0.39189,1.35584,1.18981,1.05225,9.36304e-05,9.36304e-05,9.36304e-05
44,268.676,1.1544,1.25401,0.97029,0.60996,0.63012,0.65642,0.39292,1.34982,1.13582,1.05145,8.26216e-05,8.26216e-05,8.26216e-05
45,274.089,1.23898,1.36164,0.96812,0.72038,0.6204,0.65685,0.39381,1.34174,1.12358,1.04937,7.16128e-05,7.16128e-05,7.16128e-05
46,279.459,1.16222,1.25463,0.97651,0.77161,0.61364,0.66146,0.39425,1.34094,1.11355,1.04569,6.0604e-05,6.0604e-05,6.0604e-05
47,284.831,1.24392,1.29902,0.98558,0.76556,0.61811,0.65578,0.39392,1.33654,1.11506,1.04433,4.95952e-05,4.95952e-05,4.95952e-05
48,290.302,1.18504,1.24228,0.98697,0.77327,0.64597,0.65779,0.40227,1.33961,1.1155,1.04583,3.85864e-05,3.85864e-05,3.85864e-05
49,295.647,1.15203,1.20191,0.98016,0.76415,0.6401,0.66036,0.40413,1.33543,1.11059,1.04455,2.75776e-05,2.75776e-05,2.75776e-05
50,301.061,1.11748,1.15643,0.96648,0.76291,0.62898,0.66306,0.40826,1.3362,1.10745,1.04304,1.65688e-05,1.65688e-05,1.65688e-05
