epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6357,2.1014,5.11254,1.29577,0.00422,0.02288,0.01153,0.00241,1.87203,4.52176,1.25346,0.00012348,0.00012348,0.00012348
2,24.6096,2.03252,3.69687,1.16713,0.01406,0.39786,0.0678,0.02698,1.94755,3.83254,1.18163,0.000247834,0.000247834,0.000247834
3,35.453,1.90856,2.73674,1.12721,0.02078,0.56146,0.16243,0.07927,1.78059,3.19034,1.17313,0.000367065,0.000367065,0.000367065
4,46.3262,1.85143,2.44719,1.13795,0.6805,0.07621,0.19693,0.09738,1.70575,2.76021,1.15763,0.000481173,0.000481173,0.000481173
5,56.935,1.72297,2.24604,1.10311,0.79664,0.12941,0.24255,0.12192,1.91291,2.51577,1.30128,0.00054143,0.00054143,0.00054143
6,67.5539,1.68969,2.09611,1.09576,0.78979,0.20658,0.29514,0.15258,1.63885,2.10645,1.20632,0.000529788,0.000529788,0.000529788
7,78.083,1.65221,1.9905,1.06927,0.78964,0.29814,0.31489,0.17381,1.60475,1.78496,1.14265,0.000518146,0.000518146,0.000518146
8,88.6938,1.61871,1.903,1.1011,0.71871,0.28825,0.36295,0.2004,1.56306,1.76187,1.12634,0.000506503,0.000506503,0.000506503
9,99.4698,1.58073,1.86291,1.08006,0.61619,0.36096,0.37802,0.22213,1.38117,1.50968,1.06563,0.000494861,0.000494861,0.000494861
10,110.115,1.62696,1.82962,1.06536,0.77386,0.38666,0.41733,0.23693,1.50751,1.3341,1.09645,0.000483218,0.000483218,0.000483218
11,120.906,1.55383,1.73534,1.05716,0.74908,0.38677,0.44157,0.25155,1.4517,1.44201,1.0924,0.000471576,0.000471576,0.000471576
12,131.653,1.56699,1.68502,1.04707,0.60451,0.36841,0.46929,0.25896,1.56862,1.55581,1.11299,0.000459934,0.000459934,0.000459934
13,142.342,1.52691,1.62596,1.03767,0.76222,0.3533,0.42269,0.25177,1.49019,1.43191,1.0808,0.000448291,0.000448291,0.000448291
14,153.011,1.5415,1.60016,1.03616,0.73083,0.4417,0.4356,0.24912,1.5889,1.39521,1.11652,0.000436649,0.000436649,0.000436649
15,163.747,1.55194,1.60581,1.05215,0.77044,0.42246,0.42765,0.24452,1.48171,1.24919,1.04985,0.000425006,0.000425006,0.000425006
16,174.432,1.49116,1.53248,1.03176,0.75744,0.41466,0.44446,0.25746,1.55203,1.47667,1.08358,0.000413364,0.000413364,0.000413364
17,185.064,1.44987,1.50003,1.01493,0.83387,0.41035,0.45639,0.27951,1.39972,1.32917,1.07556,0.000401722,0.000401722,0.000401722
18,195.854,1.45392,1.46748,1.01775,0.72423,0.46729,0.43228,0.26408,1.43381,1.36506,1.08023,0.000390079,0.000390079,0.000390079
19,206.455,1.45453,1.46497,1.01276,0.75237,0.44847,0.46864,0.2879,1.43611,1.29548,1.04641,0.000378437,0.000378437,0.000378437
20,217.127,1.44734,1.42015,0.9918,0.76183,0.46845,0.46931,0.27549,1.4506,1.31504,1.0746,0.000366794,0.000366794,0.000366794
21,227.834,1.44826,1.43587,1.00463,0.7251,0.39557,0.45443,0.27116,1.37999,1.25531,1.06705,0.000355152,0.000355152,0.000355152
22,238.656,1.46616,1.39495,1.00693,0.78701,0.3852,0.45547,0.2746,1.35585,1.26423,1.04354,0.00034351,0.00034351,0.00034351
23,249.308,1.4175,1.38392,1.01307,0.82683,0.35083,0.44217,0.26485,1.51771,1.27176,1.10073,0.000331867,0.000331867,0.000331867
24,260.088,1.40555,1.35839,0.98706,0.81831,0.40123,0.4778,0.28231,1.47155,1.26258,1.0866,0.000320225,0.000320225,0.000320225
25,270.853,1.37803,1.33281,0.99138,0.75346,0.44106,0.47131,0.27508,1.34639,1.23334,1.0401,0.000308582,0.000308582,0.000308582
26,281.54,1.38339,1.3747,0.99685,0.83479,0.46255,0.49677,0.28532,1.42551,1.22447,1.07491,0.00029694,0.00029694,0.00029694
27,292.082,1.38213,1.32125,0.99769,0.84408,0.3883,0.49587,0.28917,1.43242,1.24025,1.0663,0.000285298,0.000285298,0.000285298
28,302.724,1.36944,1.30249,0.99986,0.8134,0.40156,0.48661,0.30431,1.3389,1.2242,1.03357,0.000273655,0.000273655,0.000273655
29,313.268,1.3498,1.2737,0.99395,0.84873,0.40325,0.51861,0.32709,1.30419,1.1843,1.01571,0.000262013,0.000262013,0.000262013
30,324.135,1.34084,1.26775,0.97588,0.84508,0.41412,0.53949,0.34038,1.3057,1.22835,1.02916,0.00025037,0.00025037,0.00025037
31,334.71,1.36217,1.24571,0.98479,0.8435,0.38978,0.53703,0.34116,1.36025,1.2071,1.04027,0.000238728,0.000238728,0.000238728
32,345.416,1.41013,1.22548,0.98908,0.72747,0.48054,0.55754,0.32491,1.50783,1.27493,1.09989,0.000227086,0.000227086,0.000227086
33,356.342,1.38604,1.2053,0.98492,0.81975,0.45702,0.5478,0.31265,1.54731,1.25479,1.10346,0.000215443,0.000215443,0.000215443
34,367,1.31095,1.21094,0.98522,0.81647,0.44716,0.5314,0.30386,1.4528,1.23909,1.07181,0.000203801,0.000203801,0.000203801
35,377.604,1.33849,1.21529,0.99666,0.704,0.54857,0.53751,0.31307,1.46474,1.20569,1.07631,0.000192158,0.000192158,0.000192158
36,388.174,1.33011,1.21565,0.98015,0.47699,0.55667,0.55005,0.32294,1.37003,1.1754,1.04143,0.000180516,0.000180516,0.000180516
37,398.706,1.31558,1.14881,0.97389,0.42562,0.53432,0.53817,0.32236,1.59137,1.28776,1.13756,0.000168874,0.000168874,0.000168874
38,409.291,1.31956,1.14802,0.96671,0.49513,0.57025,0.56925,0.33654,1.43621,1.19306,1.05063,0.000157231,0.000157231,0.000157231
39,419.811,1.26733,1.14916,0.96055,0.4332,0.68275,0.56642,0.33874,1.36975,1.21172,1.02774,0.000145589,0.000145589,0.000145589
40,430.387,1.26852,1.17007,0.95557,0.70676,0.51261,0.58558,0.35354,1.38884,1.22919,1.03352,0.000133946,0.000133946,0.000133946
41,472.256,1.21438,1.1313,0.97158,0.70135,0.39301,0.56762,0.33512,1.44945,1.2431,1.07461,0.000122304,0.000122304,0.000122304
42,482.865,1.20185,1.11919,0.98196,0.54153,0.55,0.55452,0.31592,1.52331,1.24911,1.11563,0.000110662,0.000110662,0.000110662
43,493.247,1.20224,1.1012,0.97936,0.66547,0.58073,0.59869,0.35653,1.48506,1.28761,1.11576,9.90192e-05,9.90192e-05,9.90192e-05
44,503.742,1.18645,1.10655,0.9641,0.47961,0.66183,0.58877,0.33459,1.51352,1.27122,1.11071,8.73768e-05,8.73768e-05,8.73768e-05
45,514.128,1.2057,1.09794,0.95618,0.6611,0.64064,0.58663,0.34088,1.54824,1.31314,1.12427,7.57344e-05,7.57344e-05,7.57344e-05
46,524.615,1.15419,1.04658,0.9567,0.64607,0.63028,0.58886,0.33758,1.54037,1.25719,1.11132,6.4092e-05,6.4092e-05,6.4092e-05
47,535.021,1.14531,1.04501,0.9642,0.65267,0.62824,0.59682,0.3545,1.52321,1.27281,1.1174,5.24496e-05,5.24496e-05,5.24496e-05
48,545.491,1.14285,1.02154,0.95741,0.7068,0.6102,0.59334,0.36324,1.52394,1.27152,1.1062,4.08072e-05,4.08072e-05,4.08072e-05
49,555.923,1.16111,1.03768,0.95231,0.68818,0.60579,0.5891,0.36037,1.53149,1.27843,1.11307,2.91648e-05,2.91648e-05,2.91648e-05
50,566.413,1.14362,1.00581,0.95199,0.65381,0.61286,0.59084,0.35363,1.51219,1.2765,1.10241,1.75224e-05,1.75224e-05,1.75224e-05
